date,radiation_avg,precip,wind_avg,wind_max,temp_avg,temp_max,temp_min,humidity_avg
14/05/2014 00:00,159,0,1.4,3.3,14.27,18.9,7.19,64.95
15/05/2014 00:00,280,0,0.6,2.3,13.51,22.06,3.04,72.91
16/05/2014 00:00,186,3.4,0.8,2.7,15.65,24.24,7.23,74.69
17/05/2014 00:00,221,0,1,3.3,17.46,25.7,9.93,71.42
18/05/2014 00:00,255,0,2.1,5.5,16.85,24.62,8.45,74.45
19/05/2014 00:00,261,0,3,6.4,18.26,26.5,9.42,66.41
20/05/2014 00:00,204,0,2.2,4.9,17.35,24.67,11.18,74.66
21/05/2014 00:00,202,0,1.5,3.5,15.55,21.25,10.28,70.85
22/05/2014 00:00,152,6.6,2.4,7.5,14.52,19.56,11.75,84.55
23/05/2014 00:00,210,0.4,2.7,6.6,13.93,20.69,8.94,77.61
24/05/2014 00:00,97,9.8,2,5.8,11.48,18.02,7.37,91.43
25/05/2014 00:00,226,0,2.8,5.6,13.63,20.71,6.5,74.25
26/05/2014 00:00,183,0.2,1.8,4.4,12.81,19.98,3.85,77.26
27/05/2014 00:00,31,29.2,3.7,6.3,12.4,13.59,10.44,96.59
28/05/2014 00:00,74,6.8,2.5,4.5,13.67,16.72,10.68,93.72
29/05/2014 00:00,109,0,2.6,5.1,14.15,19.06,11.61,89.23
30/05/2014 00:00,115,0,1.8,3.8,13.22,16.81,7.21,78.83
31/05/2014 00:00,161,0,0.5,2.2,12.21,19.53,2.95,81.93
01/06/2014 00:00,272,0,0.7,2.9,15.53,23.09,7.42,74.03
02/06/2014 00:00,107,0.2,1.2,3.6,14.52,20.05,9.23,87.47
03/06/2014 00:00,145,0.8,1.6,4,15.35,21.82,12.48,84.12
04/06/2014 00:00,97,5.2,1.6,4.3,12.29,17.64,7.91,89.26
05/06/2014 00:00,211,0,3.2,6.4,13.88,20.8,7.6,71.29
06/06/2014 00:00,280,0,1.9,4.7,15.13,23.33,3.44,68.32
07/06/2014 00:00,149,10.8,2.2,4.8,17.29,23.49,10.2,79.53
08/06/2014 00:00,262,0,1.1,3.6,17.73,26.55,8.56,72.36
09/06/2014 00:00,208,0.2,1.5,3.8,19.03,27.3,11.11,81.77
10/06/2014 00:00,277,0.2,2.3,5.7,18.77,24.75,9.72,69.2
11/06/2014 00:00,248,0,1.7,3.8,16.15,23.88,7.64,74.31
12/06/2014 00:00,279,0,0.5,1.9,17.56,26.07,7.08,70.9
13/06/2014 00:00,282,0,1,2.9,18.26,25.96,8.08,70.49
14/06/2014 00:00,135,3.6,2,5.5,16.35,21.9,12.9,81.07
15/06/2014 00:00,139,0,2.3,4.7,15.03,18.9,11.7,78.8
16/06/2014 00:00,120,0,2.6,5.6,14.09,17.87,11.48,80.54
17/06/2014 00:00,269,0,3,5.3,15.69,20.41,11.33,71.52
18/06/2014 00:00,160,0.6,2.1,4.4,15.38,20.64,8.12,82.85
19/06/2014 00:00,120,0,1.6,5,13.24,18.45,5.64,82.85
20/06/2014 00:00,213,0,0.6,2.3,16.01,23.27,8.23,73.31
21/06/2014 00:00,149,0,0.9,2.9,12.83,20,8.02,88.26
26/06/2014 00:00,367,0,1.4,2.9,17.29,23.84,8.86,61.52
